id)	curation_lvl	exact	name	dumm1	dumm2	synonyms	comments
 	0	0	3409-01 IBM RI M0001	0	0	{"Z017E0001"}	{""}
 	0	0	3409-02 IBM RI M0005	0	0	{"Z017E0002"}	{""}
 	0	0	3409-03 IBM RI M0007	0	0	{"Z017E0003"}	{""}
 	0	0	3409-04 IBM RI M0008	0	0	{"Z017E0004"}	{""}
 	0	0	3409-05 IBM RI M0010	0	0	{"Z017E0005"}	{""}
 	0	0	3409-06 IBM RI M0012	0	0	{"Z017E0006"}	{""}
 	0	0	3409-07 IBM RI M0014	0	0	{"Z017E0007"}	{""}
 	0	0	3409-08 IBM RI M0015	0	0	{"Z017E0008"}	{""}
 	0	0	3409-09 IBM RI M0016	0	0	{"Z017E0009"}	{""}
 	0	0	3409-10 IBM RI M0017	0	0	{"Z017E0010"}	{""}
 	0	0	3409-11 IBM RI M0021	0	0	{"Z017E0011"}	{""}
 	0	0	3409-12 IBM RI M0022	0	0	{"Z017E0012"}	{""}
 	0	0	3409-13 IBM RI M0023	0	0	{"Z017E0013"}	{""}
 	0	0	3409-14 IBM RI M0024	0	0	{"Z017E0014"}	{""}
 	0	0	3409-15 IBM RI M0025	0	0	{"Z017E0015"}	{""}
 	0	0	3409-16 IBM RI M0027	0	0	{"Z017E0016"}	{""}
 	0	0	3409-17 IBM RI M0028	0	0	{"Z017E0017"}	{""}
 	0	0	3409-18 IBM RI M0029	0	0	{"Z017E0018"}	{""}
 	0	0	3409-19 IBM RI M0030	0	0	{"Z017E0019"}	{""}
 	0	0	3409-20 IBM RI M0031	0	0	{"Z017E0020"}	{""}
 	0	0	3409-21 IBM RI M0032	0	0	{"Z017E0021"}	{""}
 	0	0	3409-22 IBM RI M0033	0	0	{"Z017E0022"}	{""}
 	0	0	3409-23 IBM RI M0034	0	0	{"Z017E0023"}	{""}
 	0	0	3409-24 IBM RI M0035	0	0	{"Z017E0024"}	{""}
 	0	0	3409-25 IBM RI M0039	0	0	{"Z017E0025"}	{""}
 	0	0	3409-26 IBM RI M0040	0	0	{"Z017E0026"}	{""}
 	0	0	3409-27 IBM RI M0043	0	0	{"Z017E0027"}	{""}
 	0	0	3409-29 IBM RI M0045	0	0	{"Z017E0029"}	{""}
 	0	0	3409-30 IBM RI M0046	0	0	{"Z017E0030"}	{""}
 	0	0	3409-31 IBM RI M0048	0	0	{"Z017E0031"}	{""}
 	0	0	3409-32 IBM RI M0051	0	0	{"Z017E0032"}	{""}
 	0	0	3409-33 IBM RI M0052	0	0	{"Z017E0033"}	{""}
 	0	0	3409-35 IBM RI M0055	0	0	{"Z017E0035"}	{""}
 	0	0	3409-36 IBM RI M0057	0	0	{"Z017E0036"}	{""}
 	0	0	3409-37 IBM RI M0058	0	0	{"Z017E0037"}	{""}
 	0	0	3409-38 IBM RI M0060	0	0	{"Z017E0038"}	{""}
 	0	0	3409-39 IBM RI M0061	0	0	{"Z017E0039"}	{""}
 	0	0	3409-41 IBM RI M0063	0	0	{"Z017E0041"}	{""}
 	0	0	3409-42 IBM RI M0066	0	0	{"Z017E0042"}	{""}
 	0	0	3409-43 IBM RI M0067	0	0	{"Z017E0043"}	{""}
 	0	0	3409-44 IBM RI M0074	0	0	{"Z017E0044"}	{""}
 	0	0	3409-45 IBM RI M0075	0	0	{"Z017E0045"}	{""}
 	0	0	3409-46 IBM RI M0076	0	0	{"Z017E0046"}	{""}
 	0	0	3409-47 IBM RI M0077	0	0	{"Z017E0047"}	{""}
 	0	0	3409-48 IBM RI M0079	0	0	{"Z017E0048"}	{""}
 	0	0	3409-49 IBM RI M0262	0	0	{"Z017E0049"}	{""}
 	0	0	3409-50 IBM RI M0264	0	0	{"Z017E0050"}	{""}
 	0	0	3409-51 IBM RI M0265	0	0	{"Z017E0051"}	{""}
