RowID	Sample	Allele	Condition	Collection_Time	StartTime	EndTime	Sunrise	Sample_ID	LibraryID
A10_vA1	1	Ref	NC	4.6	10:42	11:11	6:05	CLY24_F3_B4_USHeir-662	A10
A10_vA2	1	Alt	NC	4.6	10:42	11:11	6:05	CLY24_F3_B4_USHeir-662	A10
A11_vA1	2	Ref	NC	4.3	10:24	10:44	6:05	CLY24_F3_B4_USHeir-525-1	A11
A11_vA2	2	Alt	NC	4.3	10:24	10:44	6:05	CLY24_F3_B4_USHeir-525-1	A11
A12_vA1	1	Ref	MO	3.6	9:21	10:07	5:43	USHeir_2024_MO-969	A12
A12_vA2	1	Alt	MO	3.6	9:21	10:07	5:43	USHeir_2024_MO-969	A12
A9_vA1	3	Ref	NC	4.4	10:31	10:51	6:05	CLY24_F3_B4_USHeir-578	A9
A9_vA2	3	Alt	NC	4.4	10:31	10:51	6:05	CLY24_F3_B4_USHeir-578	A9
B10_vA1	4	Ref	NC	4.2	10:15	10:41	6:05	CLY24_F3_B4_USHeir-453	B10
B10_vA2	4	Alt	NC	4.2	10:15	10:41	6:05	CLY24_F3_B4_USHeir-453	B10
B11_vA1	2	Ref	MO	4	9:43	10:10	5:43	USHeir_2024_MO-350	B11
B11_vA2	2	Alt	MO	4	9:43	10:10	5:43	USHeir_2024_MO-350	B11
B12_vA1	3	Ref	MO	4.7	10:27	10:42	5:43	USHeir_2024_MO-747	B12
B12_vA2	3	Alt	MO	4.7	10:27	10:42	5:43	USHeir_2024_MO-747	B12
B9_vA1	4	Ref	MO	3.5	9:11	10:10	5:43	USHeir_2024_MO-815	B9
B9_vA2	4	Alt	MO	3.5	9:11	10:10	5:43	USHeir_2024_MO-815	B9
C10_vA1	5	Ref	MO	6.5	12:15	12:46	5:43	USHeir_2024_MO-445	C10
C10_vA2	5	Alt	MO	6.5	12:15	12:46	5:43	USHeir_2024_MO-445	C10
C11_vA1	5	Ref	NC	4.3	10:24	10:44	6:05	CLY24_F3_B4_USHeir-525-2	C11
C11_vA2	5	Alt	NC	4.3	10:24	10:44	6:05	CLY24_F3_B4_USHeir-525-2	C11
C12_vA1	6	Ref	MO	6.5	12:10	12:52	5:43	USHeir_2024_MO-555	C12
C12_vA2	6	Alt	MO	6.5	12:10	12:52	5:43	USHeir_2024_MO-555	C12
C9_vA1	7	Ref	MO	5.5	11:15	11:40	5:43	USHeir_2024_MO-81	C9
C9_vA2	7	Alt	MO	5.5	11:15	11:40	5:43	USHeir_2024_MO-81	C9
D10_vA1	6	Ref	NC	4.2	10:17	10:40	6:05	CLY24_F3_B4_USHeir-482	D10
D10_vA2	6	Alt	NC	4.2	10:17	10:40	6:05	CLY24_F3_B4_USHeir-482	D10
D11_vA1	7	Ref	NC	4.4	10:31	10:51	6:05	CLY24_F3_B4_USHeir-578	D11
D11_vA2	7	Alt	NC	4.4	10:31	10:51	6:05	CLY24_F3_B4_USHeir-578	D11
D12_vA1	8	Ref	NC	4.1	10:08	10:25	6:05	CLY24_F3_B4_USHeir-395	D12
D12_vA2	8	Alt	NC	4.1	10:08	10:25	6:05	CLY24_F3_B4_USHeir-395	D12
D9_vA1	8	Ref	MO	3.5	9:15	10:11	5:43	USHeir_2024_MO-265	D9
D9_vA2	8	Alt	MO	3.5	9:15	10:11	5:43	USHeir_2024_MO-265	D9
E10_vA1	9	Ref	MO	6.5	12:15	12:46	5:43	USHeir_2024_MO-451	E10
E10_vA2	9	Alt	MO	6.5	12:15	12:46	5:43	USHeir_2024_MO-451	E10
E11_vA1	9	Ref	NC	4.4	10:31	10:51	6:05	CLY24_F3_B4_USHeir-563	E11
E11_vA2	9	Alt	NC	4.4	10:31	10:51	6:05	CLY24_F3_B4_USHeir-563	E11
E12_vA1	10	Ref	MO	4.5	10:12	11:06	5:43	USHeir_2024_MO-998	E12
E12_vA2	10	Alt	MO	4.5	10:12	11:06	5:43	USHeir_2024_MO-998	E12
E9_vA1	10	Ref	NC	4.7	10:46	11:11	6:05	CLY24_F3_B4_USHeir-679	E9
E9_vA2	10	Alt	NC	4.7	10:46	11:11	6:05	CLY24_F3_B4_USHeir-679	E9
F10_vA1	11	Ref	NC	4.4	10:31	10:51	6:05	CLY24_F3_B4_USHeir-563	F10
F10_vA2	11	Alt	NC	4.4	10:31	10:51	6:05	CLY24_F3_B4_USHeir-563	F10
F11_vA1	12	Ref	NC	4.6	10:42	11:11	6:05	CLY24_F3_B4_USHeir-662	F11
F11_vA2	12	Alt	NC	4.6	10:42	11:11	6:05	CLY24_F3_B4_USHeir-662	F11
F9_vA1	11	Ref	MO	3.5	9:13	10:08	5:43	USHeir_2024_MO-1131	F9
F9_vA2	11	Alt	MO	3.5	9:13	10:08	5:43	USHeir_2024_MO-1131	F9
G11_vA1	13	Ref	NC	4.7	10:46	11:11	6:05	CLY24_F3_B4_USHeir-679	G11
G11_vA2	13	Alt	NC	4.7	10:46	11:11	6:05	CLY24_F3_B4_USHeir-679	G11
G12_vA1	14	Ref	NC	4.5	10:35	11:04	6:05	CLY24_F3_B4_USHeir-638-2	G12
G12_vA2	14	Alt	NC	4.5	10:35	11:04	6:05	CLY24_F3_B4_USHeir-638-2	G12
G9_vA1	12	Ref	MO	6	11:42	12:32	5:43	USHeir_2024_MO-101	G9
G9_vA2	12	Alt	MO	6	11:42	12:32	5:43	USHeir_2024_MO-101	G9
H10_vA1	13	Ref	MO	6.2	11:57	12:34	5:43	USHeir_2024_MO-1038	H10
H10_vA2	13	Alt	MO	6.2	11:57	12:34	5:43	USHeir_2024_MO-1038	H10
H11_vA1	15	Ref	NC	4.5	10:35	11:04	6:05	CLY24_F3_B4_USHeir-638-1	H11
H11_vA2	15	Alt	NC	4.5	10:35	11:04	6:05	CLY24_F3_B4_USHeir-638-1	H11
H12_vA1	16	Ref	NC	4.2	10:17	10:40	6:05	CLY24_F3_B4_USHeir-482	H12
H12_vA2	16	Alt	NC	4.2	10:17	10:40	6:05	CLY24_F3_B4_USHeir-482	H12
H9_vA1	14	Ref	MO	4.5	10:13	11:03	5:43	USHeir_2024_MO-290	H9
H9_vA2	14	Alt	MO	4.5	10:13	11:03	5:43	USHeir_2024_MO-290	H9
