TF	key	v5_geneID	tf_family
EREB138	ereb138	Zm00001eb234870	EREB
NAC3	nac3	Zm00001eb288270	NAC
EREB126_ZmEDF2	ereb126_zmedf2	Zm00001eb156040	
BZIP86	bzip86	Zm00001eb095290	BZIP
BZIP84	bzip84	Zm00001eb209070	BZIP
BHLH99_ZmJAM2	bhlh99_zmjam2	Zm00001eb339360	BHLH
SBP6	sbp6	Zm00001eb211350	SBP
BZIP99	bzip99	Zm00001eb157860	BZIP
BZIP112	bzip112	Zm00001eb388050	BZIP
BZIP48	bzip48	Zm00001eb136980	BZIP
GLK44	glk44	Zm00001eb058460	GLK
MYBR58	mybr58	Zm00001eb187450	MYBR
GRF7	grf7	Zm00001eb269150	GRF
BZIP21	bzip21	Zm00001eb162740	BZIP
MYBR17	mybr17	Zm00001eb161460	MYBR
BHLH149_MYC2A	bhlh149_myc2a	Zm00001eb024330	BHLH
ZHD5	zhd5	Zm00001eb041290	ZF-HD
BZIP39_OBF1	bzip39_obf1	Zm00001eb028430	BZIP
IDD9_NKD2	idd9_nkd2	Zm00001eb428940	C2H2
HB54	hb54	Zm00001eb101280	Homeobox
ZHD21	zhd21	Zm00001eb138370	ZF-HD
BZIP91	bzip91	Zm00001eb110370	BZIP
BZIP27	bzip27	Zm00001eb069140	BZIP
CA2P13_CA3P1_CA5P7	ca2p13_ca3p1_ca5p7	Zm00001eb256650	
HB22	hb22	Zm00001eb402220	Homeobox
GLK53	glk53	Zm00001eb233310	GLK
BZIP62	bzip62	Zm00001eb037290	BZIP
ARR5	arr5	Zm00001eb227390	ARR-B
GRF2	grf2	Zm00001eb104790	GRF
GBP4	gbp4	Zm00001eb373390	GBP
BZIP54	bzip54	Zm00001eb331170	BZIP
BZIP34	bzip34	Zm00001eb288060	BZIP
HSF24	hsf24	Zm00001eb047760	HSF
NAC20	nac20	Zm00001eb288360	NAC
ARF7	arf7	Zm00001eb118970	ARF
WRKY53	wrky53	Zm00001eb312870	WRKY
NAC49	nac49	Zm00001eb062170	NAC
TCP8	tcp8	Zm00001eb142960	TCP
MYB94_FDL1	myb94_fdl1	Zm00001eb328280	MYB
CA2P13_CA3P4_CA5P7	ca2p13_ca3p4_ca5p7	Zm00001eb256650	
MYBR52_ZmLHY1	mybr52_zmlhy1	Zm00001eb250940	MYBR
BZIP105	bzip105	Zm00001eb395640	BZIP
BZIP12_LIP15	bzip12_lip15	Zm00001eb264930	BZIP
GLK17	glk17	Zm00001eb015750	GLK
BZIP160	bzip160	Zm00001eb231360	BZIP
ARF35	arf35	Zm00001eb227100	ARF
BZIP61	bzip61	Zm00001eb235510	BZIP
ARF18	arf18	Zm00001eb224680	ARF
BZIP40	bzip40	Zm00001eb097930	BZIP
NAC42	nac42	Zm00001eb272040	NAC
BZIP70	bzip70	Zm00001eb388270	BZIP
BZIP2_DLF1	bzip2_dlf1	Zm00001eb331880	BZIP
BZIP111	bzip111	Zm00001eb031210	BZIP
NAC12	nac12	Zm00001eb175840	NAC
MYBR101_SMH1	mybr101_smh1	Zm00001eb357490	MYBR
MYB138	myb138	Zm00001eb150140	MYB
MADS72_TUNICATE	mads72_tunicate	Zm00001eb193790	MADS
GRF6	grf6	Zm00001eb251820	GRF
