gene	chr	strand	is_gxe	is_bg	n_small_indel	n_large_indel	n_SNP	n_sv_total	has_any_sv
Zm00001eb000010	chr1	+	False	True	0	0	0	0	False
Zm00001eb000170	chr1	-	False	True	1	0	0	1	True
Zm00001eb000190	chr1	-	False	True	0	2	2	4	True
Zm00001eb000210	chr1	+	False	True	1	0	5	6	True
Zm00001eb000220	chr1	+	False	True	1	0	0	1	True
Zm00001eb000230	chr1	+	False	True	2	0	12	14	True
Zm00001eb000300	chr1	-	False	True	0	0	4	4	True
Zm00001eb000310	chr1	-	False	True	0	0	9	9	True
Zm00001eb000320	chr1	-	False	True	2	0	1	3	True
Zm00001eb000340	chr1	+	False	True	0	1	3	4	True
Zm00001eb000420	chr1	-	False	True	2	0	11	13	True
Zm00001eb000450	chr1	-	False	True	4	0	5	9	True
Zm00001eb000480	chr1	-	False	True	2	2	24	28	True
Zm00001eb000500	chr1	-	False	True	3	0	14	17	True
Zm00001eb000510	chr1	-	False	True	0	0	3	3	True
Zm00001eb000520	chr1	-	False	True	2	0	1	3	True
Zm00001eb000550	chr1	-	False	True	3	1	7	11	True
Zm00001eb000570	chr1	+	False	True	3	0	41	44	True
Zm00001eb000590	chr1	+	False	True	3	1	9	13	True
Zm00001eb000620	chr1	-	False	True	0	0	0	0	False
Zm00001eb000650	chr1	+	False	True	3	0	4	7	True
Zm00001eb000670	chr1	+	False	True	5	1	19	25	True
Zm00001eb000690	chr1	+	False	True	5	0	6	11	True
Zm00001eb000700	chr1	-	False	True	2	0	11	13	True
Zm00001eb000710	chr1	+	False	True	2	0	0	2	True
Zm00001eb000720	chr1	-	False	True	4	1	15	20	True
Zm00001eb000750	chr1	-	False	True	1	0	0	1	True
Zm00001eb000760	chr1	+	False	True	0	0	9	9	True
Zm00001eb000770	chr1	+	False	True	1	0	6	7	True
Zm00001eb000780	chr1	+	False	True	3	0	23	26	True
Zm00001eb000790	chr1	+	False	True	6	0	12	18	True
Zm00001eb000820	chr1	+	False	True	0	0	0	0	False
Zm00001eb000850	chr1	-	True	False	5	1	20	26	True
Zm00001eb000860	chr1	+	False	True	12	2	37	51	True
Zm00001eb000870	chr1	+	False	True	1	0	7	8	True
Zm00001eb000910	chr1	-	False	True	13	1	37	51	True
Zm00001eb000920	chr1	+	False	True	5	0	7	12	True
Zm00001eb000930	chr1	-	False	True	10	0	21	31	True
Zm00001eb000970	chr1	+	False	True	2	0	12	14	True
Zm00001eb000980	chr1	-	False	True	7	2	43	52	True
Zm00001eb000990	chr1	+	False	True	9	2	40	51	True
Zm00001eb001000	chr1	-	False	True	8	1	50	59	True
Zm00001eb001010	chr1	+	False	True	2	0	6	8	True
Zm00001eb001020	chr1	-	False	True	14	1	37	52	True
Zm00001eb001040	chr1	+	False	True	9	0	15	24	True
Zm00001eb001050	chr1	+	False	True	2	0	5	7	True
Zm00001eb001070	chr1	+	False	True	7	1	19	27	True
Zm00001eb001110	chr1	-	False	True	2	2	12	16	True
Zm00001eb001120	chr1	+	False	True	0	0	0	0	False
Zm00001eb001130	chr1	+	False	True	0	0	2	2	True
Zm00001eb001140	chr1	-	False	True	5	1	15	21	True
Zm00001eb001170	chr1	-	False	True	6	0	19	25	True
Zm00001eb001180	chr1	+	False	True	3	0	9	12	True
Zm00001eb001200	chr1	+	False	True	0	0	2	2	True
Zm00001eb001280	chr1	+	False	True	6	0	5	11	True
Zm00001eb001290	chr1	-	False	True	2	5	4	11	True
Zm00001eb001350	chr1	+	False	True	0	0	2	2	True
Zm00001eb001360	chr1	-	False	True	7	1	18	26	True
Zm00001eb001370	chr1	-	False	True	15	2	13	30	True
Zm00001eb001400	chr1	-	False	True	2	1	17	20	True
Zm00001eb001460	chr1	+	False	True	1	0	5	6	True
Zm00001eb001490	chr1	-	False	True	4	1	15	20	True
Zm00001eb001500	chr1	+	False	True	7	0	30	37	True
Zm00001eb001530	chr1	-	False	True	9	2	56	67	True
Zm00001eb001560	chr1	-	False	True	0	0	0	0	False
Zm00001eb001590	chr1	+	False	True	0	0	0	0	False
Zm00001eb001600	chr1	-	False	True	2	1	5	8	True
Zm00001eb001640	chr1	-	False	True	9	1	44	54	True
Zm00001eb001650	chr1	-	False	True	8	0	24	32	True
